x,y,z
3.335654087194796502e-01,-8.239316486835882025e-02,-1.717166733181997085e+00
1.423186741390630727e+00,-9.471174730996465563e-01,-2.845046467176147509e+00
-9.893924802094862248e-01,5.643411127225870239e-01,-7.678532724004644150e-01
1.002288524616647969e-01,-3.003831955087007399e-01,-1.895733006394614506e+00
-8.416885578246184885e-01,7.114794828245361025e-01,-2.444419108945122598e+00
2.479327748465325332e-01,-1.532448254067516613e-01,-3.572298842939273023e+00
-1.208857608981657172e-01,4.128691531524026903e-01,-4.492436304510267209e-01
9.687355717729853044e-01,-4.518551550788850735e-01,-1.577123364445176978e+00
2.681816148670196354e-02,5.600075232543517689e-01,-2.125809466995685071e+00
1.116439494157853041e+00,-3.047167849769359949e-01,-3.253689200989835051e+00
-1.296139727442263911e+00,1.206741800845297696e+00,-1.176496006214152290e+00
-2.065183947711128898e-01,3.420174926140099325e-01,-2.304375740208302492e+00
-1.148435805057396175e+00,1.353880170947246775e+00,-2.853061842758810585e+00
-5.881447238624515350e-02,4.891558627159590111e-01,-3.980941576752960565e+00
1.382744498093194885e+00,4.128691531524026903e-01,-4.492436304510267209e-01
2.472365830764346128e+00,-4.518551550788850735e-01,-1.577123364445176978e+00
1.530448420478062621e+00,5.600075232543517689e-01,-2.125809466995685071e+00
2.620069753149213643e+00,-3.047167849769359949e-01,-3.253689200989835051e+00
2.074905315490966906e-01,1.206741800845297696e+00,-1.176496006214152290e+00
1.297111864220247712e+00,3.420174926140099325e-01,-2.304375740208302492e+00
3.551944539339643714e-01,1.353880170947246775e+00,-2.853061842758810585e+00
1.444815786605115449e+00,4.891558627159590111e-01,-3.980941576752960565e+00
7.681400435544549765e-01,-6.095965156620538616e-01,-7.951107068274745338e-01
1.857761376225605998e+00,-1.474320823893341625e+00,-1.922990440821624736e+00
9.158439659393227128e-01,-4.624581455601047830e-01,-2.471676543372132606e+00
2.005465298610473734e+00,-1.327182453791392547e+00,-3.599556277366282586e+00
-4.071139229896432177e-01,1.842761320308410333e-01,-1.522363082590600047e+00
6.825074096815078040e-01,-6.804481762004467305e-01,-2.650242816584750472e+00
-2.594100006047755369e-01,3.314145021327901119e-01,-3.198928919135258120e+00
8.302113320663755403e-01,-5.333098060984976518e-01,-4.326808653129408100e+00
2.271770302545815579e+00,-6.095965156620538616e-01,-7.951107068274745338e-01
3.361391635216966378e+00,-1.474320823893341625e+00,-1.922990440821624736e+00
2.419474224930683093e+00,-4.624581455601047830e-01,-2.471676543372132606e+00
3.509095557601834336e+00,-1.327182453791392547e+00,-3.599556277366282586e+00
1.096516336001717384e+00,1.842761320308410333e-01,-1.522363082590600047e+00
2.186137668672868628e+00,-6.804481762004467305e-01,-2.650242816584750472e+00
1.244220258386585121e+00,3.314145021327901119e-01,-3.198928919135258120e+00
2.333841591057736142e+00,-5.333098060984976518e-01,-4.326808653129408100e+00
1.965023055313037892e+00,3.280417246065669978e-02,-1.203753440641162520e+00
3.054644387984188914e+00,-8.319201357706310640e-01,-2.331633174635312500e+00
2.112726977697905628e+00,1.799425425626057506e-01,-2.880319277185821036e+00
3.202348310369056428e+00,-6.847817656686819854e-01,-4.008199011179971016e+00
7.897690887689396977e-01,8.266768201535515947e-01,-1.931005816404288034e+00
1.879390421440090719e+00,-3.804748807773616903e-02,-3.058885550398438014e+00
9.374730111538074340e-01,9.738151902555006734e-01,-3.607571652948946550e+00
2.027094343824958678e+00,1.090908820242129096e-01,-4.735451386943096530e+00
3.468653314304398272e+00,3.280417246065669978e-02,-1.203753440641162520e+00
4.558274646975549516e+00,-8.319201357706310640e-01,-2.331633174635312500e+00
3.616357236689265786e+00,1.799425425626057506e-01,-2.880319277185821036e+00
4.705978569360416586e+00,-6.847817656686819854e-01,-4.008199011179971016e+00
2.293399347760300078e+00,8.266768201535515947e-01,-1.931005816404288034e+00
3.383020680431450877e+00,-3.804748807773616903e-02,-3.058885550398438014e+00
2.441103270145167592e+00,9.738151902555006734e-01,-3.607571652948946550e+00
3.530724602816318836e+00,1.090908820242129096e-01,-4.735451386943096530e+00
-5.496287291022936561e-01,-8.391280506323617328e-01,-8.357116034648133240e-01
5.399926035688573656e-01,-1.703852358863649386e+00,-1.963591337458963526e+00
-4.019248067174259753e-01,-6.919896805304126541e-01,-2.512277440009471619e+00
6.876965259537251018e-01,-1.556713988761700307e+00,-3.640157174003621599e+00
-1.724882695646391850e+00,-4.525540293946683779e-02,-1.562963979227939060e+00
-6.352613629752408286e-01,-9.099797111707546016e-01,-2.690843713222089484e+00
-1.577178773261524114e+00,1.018829671624822131e-01,-3.239529815772597132e+00
-4.875574405903730923e-01,-7.628413410688055230e-01,-4.367409549766747112e+00
9.540015298890669460e-01,-8.391280506323617328e-01,-8.357116034648133240e-01
2.043622862560217968e+00,-1.703852358863649386e+00,-1.963591337458963526e+00
1.101705452273934682e+00,-6.919896805304126541e-01,-2.512277440009471619e+00
2.191326784945085926e+00,-1.556713988761700307e+00,-3.640157174003621599e+00
-2.212524366550312482e-01,-4.525540293946683779e-02,-1.562963979227939060e+00
8.683688960161197734e-01,-9.099797111707546016e-01,-2.690843713222089484e+00
-7.354851427016356746e-02,1.018829671624822131e-01,-3.239529815772597132e+00
1.016072818400987510e+00,-7.628413410688055230e-01,-4.367409549766747112e+00
6.472542826562892593e-01,-1.967273625096511713e-01,-1.244354337278501088e+00
1.736875615327440281e+00,-1.061451670740938935e+00,-2.372234071272651512e+00
7.949582050411569956e-01,-4.958899240770212047e-02,-2.920920173823159161e+00
1.884579537712308017e+00,-9.143133006389898565e-01,-4.048799907817309141e+00
-5.279996838878089349e-01,5.971452851832437236e-01,-1.971606713041626602e+00
5.616216487833420867e-01,-2.675790230480440401e-01,-3.099486447035777026e+00
-3.802957615029412541e-01,7.442836552851928023e-01,-3.648172549586284674e+00
7.093255711682098230e-01,-1.204406529460949615e-01,-4.776052283580434654e+00
2.150884541647649861e+00,-1.967273625096511713e-01,-1.244354337278501088e+00
3.240505874318801105e+00,-1.061451670740938935e+00,-2.372234071272651512e+00
2.298588464032517376e+00,-4.958899240770212047e-02,-2.920920173823159161e+00
3.388209796703668175e+00,-9.143133006389898565e-01,-4.048799907817309141e+00
9.756305751035516671e-01,5.971452851832437236e-01,-1.971606713041626602e+00
2.065251907774702467e+00,-2.675790230480440401e-01,-3.099486447035777026e+00
1.123334497488419403e+00,7.442836552851928023e-01,-3.648172549586284674e+00
2.212955830159570425e+00,-1.204406529460949615e-01,-4.776052283580434654e+00
1.041254369494963444e-01,1.037267449064831204e-01,-1.181912758213220505e+00
1.193746769620647408e+00,-7.609975633248046156e-01,-2.309792492207370707e+00
2.518293593343640113e-01,2.508651150084321713e-01,-2.858478594757878799e+00
1.341450692005515144e+00,-6.138591932228556480e-01,-3.986358328752029223e+00
-1.071128529594601808e+00,8.975993925993780431e-01,-1.909165133976346240e+00
1.849280307654921351e-02,3.287508436809027934e-02,-3.037044867970496220e+00
-9.234246072097340718e-01,1.044737762701327011e+00,-3.585730970521004757e+00
1.661967254614169498e-01,1.800134544700392469e-01,-4.713610704515154737e+00
1.607755695940856988e+00,1.037267449064831204e-01,-1.181912758213220505e+00
2.697377028612008232e+00,-7.609975633248046156e-01,-2.309792492207370707e+00
1.755459618325724724e+00,2.508651150084321713e-01,-2.858478594757878799e+00
2.845080950996875746e+00,-6.138591932228556480e-01,-3.986358328752029223e+00
4.325017293967587939e-01,8.975993925993780431e-01,-1.909165133976346240e+00
1.522123062067909816e+00,3.287508436809027934e-02,-3.037044867970496220e+00
5.802056517816265302e-01,1.044737762701327011e+00,-3.585730970521004757e+00
1.669826984452777552e+00,1.800134544700392469e-01,-4.713610704515154737e+00
1.301008448708079301e+00,7.461274330291937096e-01,-1.590555492026908269e+00
2.390629781379230323e+00,-1.185968752020940542e-01,-2.718435226021058249e+00
1.448712371092947038e+00,8.932658031311427882e-01,-3.267121328571566785e+00
2.538333703764098281e+00,2.854149489985502441e-02,-4.395001062565716765e+00
1.257544821639811072e-01,1.540000080722088605e+00,-2.317807867790033782e+00
1.215375814835132129e+00,6.752757724908008408e-01,-3.445687601784183762e+00
2.734584045488487880e-01,1.687138450824037683e+00,-3.994373704334692299e+00
1.363079737219999865e+00,8.224141425927499194e-01,-5.122253438328842279e+00
2.804638707699440126e+00,7.461274330291937096e-01,-1.590555492026908269e+00
3.894260040370591369e+00,-1.185968752020940542e-01,-2.718435226021058249e+00
2.952342630084307640e+00,8.932658031311427882e-01,-3.267121328571566785e+00
4.041963962755458439e+00,2.854149489985502441e-02,-4.395001062565716765e+00
1.629384741155341931e+00,1.540000080722088605e+00,-2.317807867790033782e+00
2.719006073826492731e+00,6.752757724908008408e-01,-3.445687601784183762e+00
1.777088663540209668e+00,1.687138450824037683e+00,-3.994373704334692299e+00
2.866709996211360689e+00,8.224141425927499194e-01,-5.122253438328842279e+00
-1.213643335707252247e+00,-1.258047900638247507e-01,-1.222513654850559295e+00
-1.240220030361012249e-01,-9.905290982951124867e-01,-2.350393388844709719e+00
-1.065939413322384510e+00,2.133358003812430015e-02,-2.899079491395217367e+00
2.368191934876651139e-02,-8.433907281931634081e-01,-4.026959225389367347e+00
-2.388897302251350219e+00,6.680678576290701720e-01,-1.949766030613684809e+00
-1.299275969580199197e+00,-1.966564506022175918e-01,-3.077645764607835233e+00
-2.241193379866482704e+00,8.152062277310192506e-01,-3.626331867158342881e+00
-1.151572047195331683e+00,-4.951808050026851316e-02,-4.754211601152492861e+00
2.899869232841083555e-01,-1.258047900638247507e-01,-1.222513654850559295e+00
1.379608255955259377e+00,-9.905290982951124867e-01,-2.350393388844709719e+00
4.376908456689760363e-01,2.133358003812430015e-02,-2.899079491395217367e+00
1.527312178340127113e+00,-8.433907281931634081e-01,-4.026959225389367347e+00
-8.852670432599898387e-01,6.680678576290701720e-01,-1.949766030613684809e+00
2.043542894111611830e-01,-1.966564506022175918e-01,-3.077645764607835233e+00
-7.375631208751221024e-01,8.152062277310192506e-01,-3.626331867158342881e+00
3.520582117960289192e-01,-4.951808050026851316e-02,-4.754211601152492861e+00
-1.676032394866933117e-02,5.165958980588858385e-01,-1.631156388664247281e+00
1.072861008722481690e+00,-3.481284101724019253e-01,-2.759036122658397261e+00
1.309435984361983496e-01,6.637342681608349171e-01,-3.307722225208905797e+00
1.220564931107349427e+00,-2.009900400704528467e-01,-4.435601959203055777e+00
-1.192014290492767525e+00,1.310468545751780844e+00,-2.358408764427372795e+00
-1.023929578216165037e-01,4.457442375204930807e-01,-3.486288498421522775e+00
-1.044310368107899789e+00,1.457606915853729923e+00,-4.034974600972031311e+00
4.531096456325123256e-02,5.928826076224421593e-01,-5.162854334966181291e+00
1.486869935042691271e+00,5.165958980588858385e-01,-1.631156388664247281e+00
2.576491267713842070e+00,-3.481284101724019253e-01,-2.759036122658397261e+00
1.634573857427559007e+00,6.637342681608349171e-01,-3.307722225208905797e+00
2.724195190098710029e+00,-2.009900400704528467e-01,-4.435601959203055777e+00
3.116159684985930767e-01,1.310468545751780844e+00,-2.358408764427372795e+00
1.401237301169744098e+00,4.457442375204930807e-01,-3.486288498421522775e+00
4.593198908834607574e-01,1.457606915853729923e+00,-4.034974600972031311e+00
1.548941223554611835e+00,5.928826076224421593e-01,-5.162854334966181291e+00
8.722654805039513626e-01,-5.058697707555707135e-01,-1.977023465040695038e+00
1.961886813175102384e+00,-1.370594078986858477e+00,-3.104903199034845240e+00
1.019969402888819099e+00,-3.587314006536216349e-01,-3.653589301585353333e+00
2.109590735559970121e+00,-1.223455708884909399e+00,-4.781469035579503313e+00
-3.029884860401468316e-01,2.880028769373241815e-01,-2.704275840803820774e+00
7.866328466310041900e-01,-5.767214312939635823e-01,-3.832155574797971198e+00
-1.552845636552791508e-01,4.351412470392732601e-01,-4.380841677348478846e+00
9.343367690158719263e-01,-4.295830611920145037e-01,-5.508721411342628826e+00
2.375895739495311965e+00,-5.058697707555707135e-01,-1.977023465040695038e+00
3.465517072166463208e+00,-1.370594078986858477e+00,-3.104903199034845240e+00
2.523599661880179479e+00,-3.587314006536216349e-01,-3.653589301585353333e+00
3.613220994551330278e+00,-1.223455708884909399e+00,-4.781469035579503313e+00
1.200641772951213770e+00,2.880028769373241815e-01,-2.704275840803820774e+00
2.290263105622364570e+00,-5.767214312939635823e-01,-3.832155574797971198e+00
1.348345695336081507e+00,4.351412470392732601e-01,-4.380841677348478846e+00
2.437967028007232528e+00,-4.295830611920145037e-01,-5.508721411342628826e+00
2.069148492262534056e+00,1.365309173671398479e-01,-2.385666198854382802e+00
3.158769824933685300e+00,-7.281933908641479158e-01,-3.513545932848533226e+00
2.216852414647401570e+00,2.836692874690889266e-01,-4.062232035399040875e+00
3.306473747318552370e+00,-5.810550207621988372e-01,-5.190111769393190855e+00
8.938945257184358617e-01,9.304035650600347429e-01,-3.112918574617508316e+00
1.983515858389586883e+00,6.567925682874697912e-02,-4.240798308611658740e+00
1.041598448103303598e+00,1.077541935161983711e+00,-4.789484411162166388e+00
2.131219780774454620e+00,2.128176269306959467e-01,-5.917364145156316368e+00
3.572778751253894658e+00,1.365309173671398479e-01,-2.385666198854382802e+00
4.662400083925045458e+00,-7.281933908641479158e-01,-3.513545932848533226e+00
3.720482673638762172e+00,2.836692874690889266e-01,-4.062232035399040875e+00
4.810104006309913416e+00,-5.810550207621988372e-01,-5.190111769393190855e+00
2.397524784709796464e+00,9.304035650600347429e-01,-3.112918574617508316e+00
3.487146117380947707e+00,6.567925682874697912e-02,-4.240798308611658740e+00
2.545228707094663978e+00,1.077541935161983711e+00,-4.789484411162166388e+00
3.634850039765814778e+00,2.128176269306959467e-01,-5.917364145156316368e+00
-4.455032921527972700e-01,-7.354013057258785846e-01,-2.017624361678033829e+00
6.441180405183537516e-01,-1.600125613957166237e+00,-3.145504095672183809e+00
-2.977993697679295892e-01,-5.882629356239295060e-01,-3.694190198222692345e+00
7.918219629032214879e-01,-1.452987243855217159e+00,-4.822069932216842325e+00
